RouteID,latitude,longitude,type,distance,eloc,address,tollGrpId,payment,agency,cost,lanes,state,tollName,road,duration,node,roadType,nodeIdx,
10,25.156171,75.776682,barrier,569324.3,JV7W3K,"Kota Bypass, Ladpura, Kota District, Rajasthan, 324010",390522714,['cash'],NHAI,260,0,Rajasthan;RJ,Sakatpura Toll Plaza,Kota Bypass;NH 27,41323,271177957,NGQ,9600,NGQ>NGQ>NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY
10,25.170046,76.130595,barrier,615697.5,JV3UBM,"Kota Baran Road, Digod, Kota District, Rajasthan, 325203",443,['cash'],NHAI,290,4,Rajasthan;RJ,Simliya Toll Plaza,Kota Baran Road;NH 27,44446.1,267417935,NGQ,10381,NGQ>NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY
10,25.121803,76.573032,barrier,667135.6,JVYRHB,"NH 27, Baran, Baran District, Rajasthan, 325205",36,['cash'],NHAI,380,4,Rajasthan;RJ,Fatehpur Toll Plaza,NH 27,47765.9,89127614,NGQ,11218,NGQ>NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY
10,25.208689,77.135997,barrier,731568.1,JVYQ0L,"NH 27, Shahbad, Baran District, Rajasthan, 325217",37,['cash'],NHAI,350,4,Rajasthan;RJ,Mundiyar Toll Plaza,NH 27,51246.4,267417921,NGQ,12240,NGQ>NGQ>NGQ>NHY>NHY>NHY>NHY>NHY
10,25.278989,77.614441,barrier,793966.6,JVF7D5,"NH 27, Kolaras, Shivpuri District, Madhya Pradesh, 473774",427,['cash'],NHAI,340,4,Madhya Pradesh;MP,Ramnagar Toll Plaza,NH 27,56435.1,94144749,NGQ,13294,NGQ>NGQ>NHY>NHY>NHY>NHY>NHY
10,25.461875,78.451184,barrier,888380.2,JV8I6S,"Jhansi Road, Jhansi, Jhansi District, Uttar Pradesh, 284419",448,['cash'],NHAI,435,4,Uttar Pradesh;UP,Raksha Toll Plaza,Jhansi Road;NH 27,62770.6,92039842,NGQ,14702,NGQ>NHY>NHY>NHY>NHY>NHY
10,25.343337,78.916662,barrier,947905.8,NC7UVJ,"NH 39, Mauranipur, Jhansi District, Uttar Pradesh, 284205",390522091,['cash'],NHAI,505,5,Uttar Pradesh;UP,Luhari Toll Plaza,NH 39,66818,287530293,NHY,15759,NHY>NHY>NHY>NHY>NHY
10,25.134156,79.376679,barrier,1004331.7,NL469B,"NH 39, Nowgong, Chhatarpur District, Madhya Pradesh, 471201",390522097,['cash'],NHAI,300,0,Madhya Pradesh;MP,Pachwara Toll Plaza,NH 39,70018.6,280681595,NHY,16559,NHY>NHY>NHY>NHY
10,24.782541,79.817006,barrier,1068481.1,5V2XZW,"Panna Khajuraho Road, Rajnagar, Chhatarpur District, Madhya Pradesh, 471105",390522185,['cash'],NHAI,255,0,Madhya Pradesh;MP,Devgaon Toll Plaza,Panna Khajuraho Road;NH 39,73454,283375923,NHY,17542,NHY>NHY>NHY
10,24.577362,80.690969,barrier,1164981.8,5V3K6Z,"Panna Satna Road, Nagod, Satna District, Madhya Pradesh, 485441",390522822,['cash'],NHAI,160,0,Madhya Pradesh;MP,Mauhari Toll Plaza,Panna Satna Road;NH 39,80457.8,283806628,NHY,19272,NHY>NHY
10,24.493481,81.143324,barrier,1216565.1,GAEEDL,"Satna Rewa Road, Amarpatan, Satna District, Madhya Pradesh, 485115",390523270,['cash'],NHAI,305,4,Madhya Pradesh;MP,Bela Toll Plaza,Satna Rewa Road;NH 39,83779.2,287468961,NHY,20071,NHY
11,23.527324,72.388248,barrier,43663,JVIVPZ,"Ahmedabad Palanpur Highway, Mahesana, Mahesana District, Gujarat, 384460",390500069,['cash'],GSRDC,225,0,Gujarat;GJ,Mehsana Toll Plaza,Ahmedabad Palanpur Highway;SH 41,5161,279154240,SHY,733,SHY>SHY>RDA>RDA>NGQ>NHY>NHY>NHY>NHY>NHY>NHY>NHY>SHY>SHY>SHY
11,23.186465,72.560319,barrier,89277.5,JVKCUH,"Ahmedabad Palanpur Highway, Gandhinagar, Gandhinagar District, Gujarat, 382423",192,['cash'],GSRDC,120,0,Gujarat;GJ,Adalaj Toll Plaza,Ahmedabad Palanpur Highway;SH 41,8241.1,85169776,SHY,1430,SHY>RDA>RDA>NGQ>NHY>NHY>NHY>NHY>NHY>NHY>NHY>SHY>SHY>SHY
