RouteID,latitude,longitude,nodeIdx,road,address,tollName,agency,state,roadType,cost,payment,node,lanes,duration,tollGrpId,eloc,distance,type,Road Catagory
21,21.303037,72.954261,5357,NH 48,"NH 48, Kamrej, Surat District, Gujarat, 394150",Choryasi Toll Plaza,NHAI,Gujarat;GJ,NGQ,80,['cash'],271984627,7,26478.7,176,JVIMZR,349959.2,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,20.885734,73.052202,6271,NH 48,"NH 48, Navsari, Navsari District, Gujarat, 396433",Boriach Toll Plaza,NHAI,Gujarat;GJ,NGQ,65,['cash'],276893301,0,29690.1,344,JVINE4,402909.6,barrier,"NGQ,NGQ,NGQ,NGQ,NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,20.434939,72.917265,7354,NH 48,"NH 48, Pardi, Valsad District, Gujarat, 396185",Bhagwada Toll Plaza,NHAI,Gujarat;GJ,NGQ,75,['cash'],276891265,6,33057.6,169,JVISY2,461979,barrier,"NGQ,NGQ,NGQ,NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,19.890544,72.942852,8434,NH 48,"NH 48, Dahanu, Palghar District, Maharashtra, 401607",Charoti Toll Plaza,NHAI,Maharashtra;MH,NGQ,65,['cash'],287814519,6,36887.4,124,JVMF10,526023.1,barrier,"NGQ,NGQ,NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,19.520429,72.916971,9336,Western Expressway;NH 48,"NH 48, Vasai, Palghar District, Maharashtra, 401303",Khaniwade Toll Plaza,NHAI,Maharashtra;MH,NGQ,75,['cash'],263034477,5,39392.4,488,JVOGVK,572854.8,barrier,"NGQ,NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,19.171644,72.968216,10410,Eastern Express Highway;AH 47;NH 48,"Eastern Express Highway, Durgawadi, Mulund East, Mumbai, Maharashtra, 400081",Mulund Toll Plaza,,Maharashtra;MH,NHY,40,['cash'],290132385,0,44885.3,390523552,TY69M8,623039,barrier,"NHY,NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,19.169114,72.966836,10421,Eastern Express Highway;AH 47;NH 48,"Eastern Express Highway, MHADA Colony, Mulund East, Mumbai, Maharashtra, 400081",Mulund Toll Plaza,,Maharashtra;MH,NHY,40,['cash'],87761593,5,44960.5,153,JVKRHB,623356.5,barrier,"NHY,RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,19.153552,72.965731,10466,Mulund Airoli Road,"Mulund Airoli Road, Mulund East, Mumbai, Maharashtra, 400081",Airoli Toll Plaza,,Maharashtra;MH,RDA,40,['cash'],290677755,6,45279.6,143,JVL87G,626129.3,barrier,"RDA,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,19.02974,73.089757,10961,Sion Panvel Expressway;Yashwantrao Chavan Expressway;AH 47,"Sion Panvel Expressway, Navi Mumbai, Maharashtra, 410209",Kharghar Toll Plaza,"MAHAPWD, MSRDC",Maharashtra;MH,NGQ,,,263883493,0,48086.7,670,JVOL8Q,651084.5,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,18.801147,73.285488,11433,Mumbai Pune Expressway;Yashwantrao Chavan Expressway;AH 47,"Khalapur, Raigad District;Raigarh District, Maharashtra, 410202",Khalapur Toll Plaza,MSRDC,Maharashtra;MH,NGQ,320,['cash'],284207224,0,49658.8,672,JVOIR1,685493.2,ticket,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
