Route_ID,longitude,latitude,distance,place_id,poi,subSubLocality,subLocality,locality,city,subDistrict,district,state,poplrName,address,tel,email,website,e_lng,e_lat,category,brand_code
11,72.409491,23.371133,41846,NH5V17,Sabarmati Gas CNG Station,,,,,Kadi,Mahesana District,Gujarat,,"Bharat Petroleum Petrol Pump, Mehsana Adabad Highway, Nandasan, Kadi, Mahesana District, Gujarat, 384450",,,www.sabarmatigas.in,72.409219,23.371147,TRNCNG,B81120937
11,72.41658,23.35042,43335,WIGAUR,Sabarmati Gas CNG Station,,,,,Kadi,Mahesana District,Gujarat,,"Survey No 26, TA Kadi District Mehsana, Kadi, Mahesana District, Gujarat, 384450",,,,72.416737,23.350435,TRNCNG,B81120937
11,72.44329,23.276246,49391,LG1PAG,Sabarmati Gas CNG Station,,,,Chhatral,Kalol,Gandhinagar District,Gujarat,,"Bharat Petroleum Petrol Pump, Chhtral Kadi Cross Road, Near Honda Showroom, Chhatral, Gujarat, 382729",,,www.sabarmatigas.in,72.443436,23.276279,TRNCNG,B81120937
11,72.478146,23.257386,53523,VYX691,Sabarmati Gas CNG Station,,,,Kalol,Kalol,Gandhinagar District,Gujarat,,"Indian Oil Petrol Pump, Mehsana Toll Road, Kalol, Gujarat, 382721",,,,72.478248,23.257393,TRNCNG,B81120937
11,72.505422,23.229014,57523,N2AW2G,Sabarmati Gas CNG Station,,,Ambika Nagar,Kalol,Kalol,Gandhinagar District,Gujarat,,"Bharat Petroleum Petrol Pump, Opposite Kalol GIDC, Ahmedabad Mehsana Highway, Kalol, Gujarat, 382721",,,www.sabarmatigas.in,72.505686,23.228944,TRNCNG,B81120937
11,72.529527,23.210861,60677,C31S8S,Gujarat Gas CNG Station,,,Saij,Kalol,Kalol,Gandhinagar District,Gujarat,,"Opposite IFFCO, District Gandhinagar, Kalol, Gujarat, 382725",,,www.gujaratgas.com,72.52945,23.210815,TRNCNG,B81120938
11,72.573769,23.176774,66519,69AE12,Sabarmati Gas CNG Station,,,Simandhar City,Adalaj,Gandhinagar,Gandhinagar District,Gujarat,,"Indian Oil Petrol Pump, SH 41, Near Trimandir, Ahmedabad Highway Service, Adalaj, Gujarat, 382421",,,www.sabarmatigas.in,72.573652,23.176739,TRNCNG,B81120937
11,72.588279,23.161869,68661,NH5NCQ,Sabarmati Gas CNG Station,,,,Adalaj,Gandhinagar,Gandhinagar District,Gujarat,,"Indian Oil Petrol Pump, Ahmedabad Mehsana Highway, Adalaj, Gujarat, 382421",,,www.sabarmatigas.in,72.587732,23.161984,TRNCNG,B81120937
11,72.666054,23.113014,78289,VYX01Y,Sabarmati Gas CNG Station,,Nana Chiloda,Naroda,Ahmedabad,Gandhinagar,Gandhinagar District,Gujarat,,"Indian Oil Petrol Pump, Nana Chiloda Ring Road, Opposite Hyundai Godown, Koba Ranasan, District Gandhinagar, Ahmedabad, Gujarat, 382330",,,,72.666098,23.113096,TRNCNG,B81120937
11,72.685565,23.102022,80628,NH53RB,Adani Gas CNG Station,,,,,Gandhinagar,Gandhinagar District,Gujarat,,"Bharat Petroleum Petrol Pump, Besides Kahanvi Garden Restaurant, Near Ranasan Toll Plaza, SP Ring Road, Gandhinagar, Gandhinagar District, Gujarat, 382330",,,www.adanigas.com,72.685452,23.102064,TRNCNG,B81120934
11,72.687926,23.081725,82078,UNLDYX,Adani Gas CNG Station,,,Nava Naroda,Ahmedabad,Daskroi,Ahmedabad District,Gujarat,,"HP Petrol Pump, Block No 101, Tps 109, Fp No 29, Sardar Patel Ring Road, Near Dehgam Naka, Village Bilasiya, Taluka Daskroi, Ahmedabad, Gujarat, 382345",,,,72.687835,23.081749,TRNCNG,B81120934
11,72.688568,23.078558,82331,NH59YM,Adani Gas CNG Station,,,Nava Naroda,Ahmedabad,Daskroi,Ahmedabad District,Gujarat,,"Nava Naroda, Ahmedabad, Gujarat, 382345",,,www.adanigas.com,72.688411,23.078594,TRNCNG,B81120934
11,72.67871,23.03908,84082,MSB5CY,Adani Gas CNG Station,,,Odhav Industrial Estate,Ahmedabad,Asarva,Ahmedabad District,Gujarat,,"Bharat Petroleum Petrol Pump, Near Nikol Kathawada Cross Road, SP Ring Road, Ahmedabad, Gujarat, 382415",,,www.adanigas.com,72.678649,23.039125,TRNCNG,B81120934
11,72.673453,23.02899,84341,NHFP0N,Adani Gas CNG Station,,,Odhav,Ahmedabad,Vatva,Ahmedabad District,Gujarat,,"Bharat Petroleum Petrol Pump, Nikol Odhav Ring Road, Near Palm Hotel, Nikol, Ahmedabad, Gujarat, 382415",,,www.adanigas.com,72.673605,23.028875,TRNCNG,B81120934
11,72.676606,23.025109,84862,11KAYB,Adani Gas CNG Station,,GVMM Industrial Estate,Odhav Industrial Estate,Ahmedabad,Vatva,Ahmedabad District,Gujarat,,"Indian Oil Petrol Pump, Near Gujarat Vepari Maha Mandal, Odhav, Ahmedabad, Gujarat, 382415",,,www.adanigas.com,72.676654,23.025436,TRNCNG,B81120934
11,72.704089,23.018812,87514,FEMYIA,Adani Gas CNG Station,,,,,Daskroi,Ahmedabad District,Gujarat,,"Survey No 616, Near VK Petroleum, Village Bhuvaldi, Daskroi, Ahmedabad District, Gujarat, 382430",,,www.adanigas.com,72.704169,23.018862,TRNCNG,B81120934
11,72.73198,23.001174,90973,MSEPQM,Gujarat Gas CNG Station,,,,,Daskroi,Ahmedabad District,Gujarat,,"NH 47, Ahmedabad Indore Highway, Gadh, Godhra, Daskroi, Ahmedabad District, Gujarat, 382430",,,www.gujaratgas.com,72.732082,23.00146,TRNCNG,B81120938
11,72.787322,22.999921,95620,NH57RC,Adani Gas CNG Station,,,,,Daskroi,Ahmedabad District,Gujarat,,"Bharat Petroleum Petrol Pump, Kathlal Highway Kuha, Daskroi, Ahmedabad District, Gujarat, 382433",,,www.adanigas.com,72.787266,22.999889,TRNCNG,B81120934
11,72.857892,22.989589,102229,RTPCEW,Adani Gas CNG Station,,,,,Kathlal,Kheda District,Gujarat,,"Indian Oil Petrol Pump, Village Kodaili, NH 43, Anuppur, Kathlal, Kheda District, Gujarat, 387635",,,www.adanigas.com,72.858026,22.989656,TRNCNG,B81120934
11,72.968181,22.90281,116988,CCJNGK,Gujarat Gas CNG Station,,,,,Kathlal,Kheda District,Gujarat,,"HP Petrol Pump, District Kheda, Kathlal, Kheda District, Gujarat, 387630",,,www.gujaratgas.com,72.968077,22.902708,TRNCNG,B81120938
11,72.990811,22.889427,119741,NH4X7C,Adani Gas CNG Station,,,,,Kathlal,Kheda District,Gujarat,,"Indian Oil Petrol Pump, Near HDFC Bank, District Kheda, Kathlal, Kheda District, Gujarat, 387630",,,www.adanigas.com,72.990818,22.889526,TRNCNG,B81120934
11,73.0489,22.902,123940,SJIGNL,Adani Gas CNG Station,,,,,Kathlal,Kheda District,Gujarat,,"Kathlal, Kheda District, Gujarat, 387630",,,www.adanigas.com,73.04877,22.901773,TRNCNG,B81120934
11,73.123799,22.909612,130055,NH4YV2,Adani Gas CNG Station,,,,,Kathlal,Kheda District,Gujarat,,"Bharat Petroleum Petrol Pump, Near Ladvel Cross Road, Kathlal Balasinor Road, Kathlal, Kheda District, Gujarat, 387640",,,www.adanigas.com,73.12375,22.909516,TRNCNG,B81120934
11,73.307859,22.94156,145083,SJIGER,Adani Gas CNG Station,,,,,Balasinor,Mahisagar District,Gujarat,,"Survey No 1327, Behind Sahjanand School, Vadadla, Mahisagar, Balasinor By Pass Road, Balasinor, Mahisagar District, Gujarat, 388255",,,www.adanigas.com,73.308037,22.941685,TRNCNG,B81120934
11,73.449858,22.803893,164965,CCJTS6,Gujarat Gas CNG Station,,,,,Godhra,Panchmahals District,Gujarat,,"HP Petrol Pump, NH 47, Tuwa, Ahmedabad to Godhra Road, Panch Mahals District, Godhra, Panchmahals District, Gujarat, 388713",,,www.gujaratgas.com,73.449745,22.803562,TRNCNG,B81120938
11,73.66832,22.795587,185410,9I1W2B,Gujarat Gas CNG Station,,,,,Godhra,Panchmahals District,Gujarat,,"Indian Oil Petrol Pump, Godhra Bypass Road, Paravdi, Kotda, Panch Mahals District, Godhra, Panchmahals District, Gujarat, 389001",,,www.gujaratgas.com,73.668363,22.795595,TRNCNG,B81120938
11,73.707197,22.795007,189052,IFVJYZ,Gujarat Gas CNG Station,,,,,Godhra,Panchmahals District,Gujarat,,"Bharat Petroleum Petrol Pump, Godhara Dahod Highway, NH59, Godhara, Panch Mahals District, Godhra, Panchmahals District, Gujarat, 389120",,,www.gujaratgas.com,73.707119,22.794627,TRNCNG,B81120938
11,74.259985,22.821824,240711,O4ICFV,Gujarat Gas CNG Station,,,,Dahod,Dohad,Dahod District,Gujarat,,"HP Petrol Pump, NH 47, Ahmedabad Indore Bypass Road, Near Ibadatgah, District Dahod, Dahod, Gujarat, 389151",,,www.gujaratgas.com,74.260101,22.822024,TRNCNG,B81120938
11,74.474024,22.792276,262580,O4IE0Z,Gujarat Gas CNG Station,,,,,Jhabua,Jhabua District,Madhya Pradesh,,"Khasra No 99/1, 100/2, P H No 04, Village Chhoti Pitol, On Jhabua Ahmedabad Road, District Jhabua, Jhabua, Jhabua District, Madhya Pradesh, 457661",,,www.gujaratgas.com,74.474009,22.792359,TRNCNG,B81120938
11,74.475083,22.793946,262627,O4HOU4,Gujarat Gas CNG Station,,,,,Jhabua,Jhabua District,Madhya Pradesh,,"Survey No-78/2, PH No 4, Nh-47, Ahmedabad Indore Highway, Village Chhoti Pitol, Taluka Jhabua, District Jhabua, Jhabua, Jhabua District, Madhya Pradesh, 457661",,,www.gujaratgas.com,74.475064,22.793772,TRNCNG,B81120938
11,74.567472,22.804535,271316,P7LUJ4,Gujarat Gas CNG Station,,,,,Jhabua,Jhabua District,Madhya Pradesh,,"Bharat Petroleum Petrol Pump, Khasra No 1645, 1678, Village Karadawadbadi, District Jhabua, Jhabua, Jhabua District, Madhya Pradesh, 457661",,,www.gujaratgas.com,74.567419,22.804531,TRNCNG,B81120938
11,74.956413,22.661474,314133,VZ0BJV,Naveriya Gas CNG Station,,,,,Sardarpur,Dhar District,Madhya Pradesh,NGPL Gas Station,"Indian Oil Petrol Pump, Rajgarh Bypass Road, Sardarpur, Dhar District, Madhya Pradesh, 454116",,,,74.956427,22.661516,TRNCNG,B81121233
11,75.252935,22.598722,345253,A8638G,Naveriya Gas CNG Station,,,,,Dhar,Dhar District,Madhya Pradesh,NGPL Gas Station,"Dhar Bypass, Dhar, Dhar District, Madhya Pradesh, 454001",,,,75.252787,22.598949,TRNCNG,B81121233
11,75.349417,22.613247,354247,SNISMA,Naveriya Gas CNG Station,,,,,Dhar,Dhar District,Madhya Pradesh,NGPL Gas Station,"Near National Highway Junction, Beside Gurukrupa Hotel, Jetpura, Dhar, Dhar District, Madhya Pradesh, 454001",,,ngplindia.com,75.349414,22.613277,TRNCNG,B81121233
11,75.57417,22.6769,374531,SJFJLW,Gujarat Gas CNG Station,,,,,Depalpur,Indore District,Madhya Pradesh,,"HPCL, 260/2/2, NH 59 Ahmedabad Indore Highway, Jhalariya, Depalpur, Indore District, Madhya Pradesh, 453001",,,www.gujaratgas.com,75.574142,22.676985,TRNCNG,B81120938
11,75.8098,22.70356,397248,5V54NP,Aavantika Gas Limited CNG Station,,,Noorani Nagar,Indore,Indore,Indore District,Madhya Pradesh,AGL CNG Station,"Indian Oil Petrol Pump, Ahmad Nagar, Sinhasa, Indore, Madhya Pradesh, 452006",,,www.aglonline.net,75.809787,22.703519,TRNCNG,B81121086
11,75.8256,22.705739,398767,4IJURF,Aavantika Gas Limited CNG Station,Sector A,Gumasta Nagar,Scheme No 71,Indore,Indore,Indore District,Madhya Pradesh,AGL CNG Station,"Bharat Petroleum Petrol Pump, Sh No 71, Near Chandan Nagar Police Station, Indore, Madhya Pradesh, 452002",9.17E+11,,www.aglonline.net,75.825252,22.705859,TRNCNG,B81121086
11,75.829752,22.70875,399104,4IJU16,Aavantika Gas Limited CNG Station,Sector A,Gumasta Nagar,Scheme No 71,Indore,Indore,Indore District,Madhya Pradesh,AGL CNG Station,"HP Petrol Pump, Kh No 486/1 204, Dhar Road, Near Kimti Garden, Indore, Madhya Pradesh, 452002",9.17E+11,,www.aglonline.net,75.829702,22.70881,TRNCNG,B81121086
11,75.838672,22.712964,399886,DXWYP3,Gujarat Gas CNG Station,,Khalsa College Area,Ram Krishna Bagh,Indore,Indore,Indore District,Madhya Pradesh,,"Khalsa College Area, Ram Krishna Bagh, Indore, Madhya Pradesh, 452002",,,www.gujaratgas.com,75.838676,22.712923,TRNCNG,B81120938
11,75.841063,22.715385,400062,WYOOWE,Aavantika Gas Limited CNG Station,,North Raj Mohalla,Raj Mohalla,Indore,Indore,Indore District,Madhya Pradesh,AGL CNG Station,"HP Petrol Pump, NH 59, North Rajmohalla, Raj Mohalla, Indore, Madhya Pradesh, 452002",9.17E+11,,www.aglonline.net,75.841065,22.71528,TRNCNG,B81121086
